Date,Bitcoin_Price,Gold_Price,Bitcoin_Normalized,Gold_Normalized
2021-06-04,39188.59,177.16,16607.445861762088,156.66784577290414
2021-06-11,37338.36,175.74,15823.350425901597,155.41209762999648
2021-06-18,38068.04,164.93,16132.576174937492,145.85249380969225
2021-06-25,33674.66,166.59,14270.737805653263,147.3204810753449
2021-07-02,33536.88,167.29,14212.349027418739,147.93951185001768
2021-07-09,33839.04,169.21,14340.399203288556,149.63742483197737
2021-07-16,31738.59,169.41,13450.264864177649,149.81429076759815
2021-07-23,32118.06,168.56,13611.077679366022,149.06261054120978
2021-07-30,40005.93,169.82,16953.82040089842,150.17686593562078
2021-08-06,39750.14,164.64,16845.421028096793,145.59603820304207
2021-08-13,44417.78,166.39,18823.486036360555,147.14361513972406
2021-08-20,44777.86,166.7,18976.08170530152,147.41775733993632
2021-08-27,46962.8,170.19,19902.021443403824,150.50406791651926
2021-09-03,48862.76,171.06,20707.191592151547,151.27343473646977
2021-09-10,46368.69,167.18,19650.247912870283,147.84223558542627
2021-09-17,48167.85,163.77,20412.70076704666,144.82667138309162
2021-09-24,44888.96,163.3,19023.16396152053,144.41103643438277
2021-10-01,41522.38,164.59,17596.465652413444,145.5518217191369
2021-10-08,53801.1,164.23,22799.974573038948,145.23346303501944
2021-10-15,57406.69,165.33,24327.961181506125,146.20622568093387
2021-10-22,62354.86,167.77,26424.9099461796,148.36399009550763
2021-10-29,58538.49,166.65,24807.598423528412,147.37354085603113
2021-11-05,61441.83,169.84,26037.983641988387,150.1945525291829
2021-11-12,64976.73,174.45,27536.013052506678,154.2713123452423
2021-11-19,56921.34,172.61,24122.27825571047,152.64414573753095
2021-11-26,57187.54,166.85,24235.08920625503,147.5504067916519
2021-12-03,56508.48,166.63,23947.315336695345,147.35585426246905
2021-12-10,50511.12,166.58,21405.738017544605,147.31163777856386
2021-12-17,47658.38,167.8,20196.79620290715,148.39051998585074
2021-12-24,48628.35,168.97,20607.852693138957,149.4251857092324
2021-12-31,47132.96,170.96,19974.13230495402,151.18500176865936
2022-01-07,43436.17,167.75,18407.4967156842,148.34630350194553
2022-01-14,42546.44,169.67,18030.444548035768,150.0442164839052
2022-01-21,41707.85,171.09,17675.06462685935,151.29996462681288
2022-01-28,37146.85,167.1,15742.191804042886,147.77148921117794
2022-02-04,36912.68,168.86,15642.954612874519,149.327909444641
2022-02-11,43531.11,173.81,18447.7306437259,153.70534135125575
2022-02-18,43948.81,177.12,18624.744670932745,156.63247258578
2022-02-25,38344.78,176.55,16249.853794973937,156.12840466926073
2022-03-04,43934.85,183.68,18618.828664660763,162.43367527414222
2022-03-11,39437.89,185.09,16713.094884943002,163.68058012026884
2022-03-18,41133.08,179.3,17431.487053438996,158.56031128404672
2022-03-25,44004.47,182.38,18648.332415137516,161.284046692607
2022-04-01,47064.16,179.5,19944.97605627834,158.7371772196675
2022-04-08,43464.32,181.47,18419.42619824554,160.47930668553235
2022-04-15,41148.06,184.04,17437.835318048903,162.75203395825963
2022-04-22,40514.01,180.29,17169.135907106836,159.43579766536965
2022-04-29,39249.28,176.91,16633.165232868585,156.44676335337815
2022-05-06,36549.9,175.42,15489.214730686106,155.1291121330032
2022-05-13,28907.15,168.79,12250.349620714498,149.26600636717367
2022-05-20,30289.87,172.03,12836.322413866168,152.13123452423062
2022-05-27,29518.59,172.85,12509.467305165912,152.8563848602759
